Project,Description,Outcome EN,Output EN,Sector,Beneficiary,Donor,Beneficiary Type,Regional Group,Start Date,End Date,Coordinates
Carry Over International Assistance 2022-2023,"This administrative mechanism was put in place in 2006 to carry forward into the following biennium International Assistance requests funded by the World Heritage Fund which have not been fully implemented in the preceding biennium. 
This carry-forward concerns International Assistance requests approved in 2022-2023 and not yet implemented.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
World Higher Education Conference Follow-up,"This workplan focuses on the follow-up to the 2022 World Higher Education Conference (WHEC 2022), namely the finalization of its enriched roadmap, development of a knowledge base, and higher education area.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED4 - Learners equipped with relevant skills to meet individual, labour market and societal demands through literacy, TVET, STEM and higher education",EDUCATION,Global,,Global,,2024-01-01,2025-12-31,
Emergency Assistance (2024-2025),"This reserve fund established by the World Heritage Convention is part of the World Heritage Fund. It supports the States Parties to the World Heritage Convention to face severe damage that occurred to the cultural or natural sites located on their territories and inscribed on the World Heritage List.
The World Heritage Committee has voted a budget of US$400,000 under this reserve fund for 2024-2025.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Advisory services by ICOMOS for 2024-2025,"Under the provisions of Articles 13(7) and 14(2) of the Convention Concerning the Protection of the World Cultural and Natural Heritage, UNESCO is requested to utilize the services of ICOMOS in the preparation of the documentation and agenda of the statutory and other meetings of the World Heritage Committee. This activity covers the Monitoring Services, Evaluation Services and other advisory services to be provided by ICOMOS in the implementation of the Convention during the period 2024-2025.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Advisory services by IUCN for 2024-2025,"""Advisory services by IUCN for 2024-2025"" is the budget line voted by the World Heritage Committee under the World Heritage Fund for the period 2024-2025, to finance the Monitoring Services, Evaluation Services and other advisory services it requests from IUCN in the implementation of the Convention.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2026-06-30,
Advisory services by ICCROM for 2024-2025,"ICCROM's statutory functions in relation to the 1972 World Heritage Convention are to carry out research, documentation, technical assistance, training and public awareness programmes to strengthen conservation of cultural heritage. Its advisory services include training for cultural heritage, monitoring the state of conservation of World Heritage cultural properties, reviewing requests from International Assistance submitted by States Parties, and providing input and support for capacity-building activities.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Advisory missions 2024-2025,"""Advisory missions"" is the budget line voted by the World Heritage Committee under the World Heritage Fund for the period 2022-2023, to finance Advisory missions in relation to the state of conservation of World Heritage sites. This funding is to be used for Advisory missions in States Parties falling within the category of Least developed countries, Low-income and Lower middle income countries as well as Small Islands Developing States, or other countries on a case by case as well as cost-sharing basis.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Reactive and Reinforced Monitoring (2024-2025),"""Reactive and Reinforced Monitoring"" is the budget line voted by the World Heritage Committee under the World Heritage Fund for the period 2022-2023 to finance missions by the Secretariat of the World Heritage Convention to assess on the ground the state of conservation of specific World Heritage properties under threat. These missions are requested by the World Heritage Committee; they are organized upon invitation by the State Party concerned and often undertaken with experts from the Advisory Bodies (i.e. ICOMOS, ICCROM or IUCN).",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT1 - Member States capacities strengthened to identify, protect and manage tangible heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
Federation of International Civil Service Associations,UN Joint Machinery Participation towards the Federation of International Civil Service Associations,"Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action",Joint Machinery of the United Nations system (JUNM),PARTICIPATION IN THE JOINT MACHINERY THE UNITED NATIONS SYSTEM JUNM,,,,,2024-01-01,2025-12-31,
Enhancing human resources to improve the implementation of the International Assistance mechanisms,"In accordance with Resolution 7.GA 8 of the General Assembly of States Parties to the 2003 Convention, which approved the creation of three fixed term posts, this activity aims at enhancing the human resources of the Secretariat to support States Parties in making better use of the resources of the Intangible Cultural Heritage Fund and thus operationalize the International Assistance mechanism.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,"5.CLT4 - Member States and communities capacities strengthened to identify, safeguard and promote living heritage",CULTURE,Global,,Global,,2024-01-01,2025-12-31,
